62,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,98:34,"jtTotalSupply
                + ValuationLogic._convertToShares(state.jtProtocolFee, (state.jtEffectiveNAV - state.jtProtocolFee), jtTotalSupply, Math.Rounding.Floor)",1
63,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,98:34,"jtTotalSupply
                + ValuationLogic._convertToShares(state.jtProtocolFee, (state.jtEffectiveNAV - state.jtProtocolFee), jtTotalSupply, Math.Rounding.Floor)",true
64,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,98:34,"jtTotalSupply
                + ValuationLogic._convertToShares(state.jtProtocolFee, (state.jtEffectiveNAV - state.jtProtocolFee), jtTotalSupply, Math.Rounding.Floor)",false
65,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,98:47,"
                + ",-
66,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,98:47,"
                + ",*
67,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,98:47,"
                + ",/
68,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,98:47,"
                + ",%
69,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,98:47,"
                + ",**
70,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,99:93, - ,+
71,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,99:93, - ,*
72,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,99:93, - ,/
73,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,99:93, - ,%
74,BinaryOpMutation,src/libraries/logic/AccountingSyncLogic.sol,99:93, - ,**
75,SwapArgumentsOperatorMutation,src/libraries/logic/AccountingSyncLogic.sol,99:73,state.jtEffectiveNAV - state.jtProtocolFee,state.jtProtocolFee - state.jtEffectiveNAV
76,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,93:13,"(,, totalTrancheShares) =
                FeeAndLiquidityPremiumLogic._computeSTFeeAndLiquidityPremiumSharesToMint(state, IERC20(_immutables.seniorTranche).totalSupply())",assert(true)
77,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,94:17,"FeeAndLiquidityPremiumLogic._computeSTFeeAndLiquidityPremiumSharesToMint(state, IERC20(_immutables.seniorTranche).totalSupply())",0
78,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,94:17,"FeeAndLiquidityPremiumLogic._computeSTFeeAndLiquidityPremiumSharesToMint(state, IERC20(_immutables.seniorTranche).totalSupply())",(-1)
79,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,94:17,"FeeAndLiquidityPremiumLogic._computeSTFeeAndLiquidityPremiumSharesToMint(state, IERC20(_immutables.seniorTranche).totalSupply())",1
80,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,94:17,"FeeAndLiquidityPremiumLogic._computeSTFeeAndLiquidityPremiumSharesToMint(state, IERC20(_immutables.seniorTranche).totalSupply())",true
81,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,94:17,"FeeAndLiquidityPremiumLogic._computeSTFeeAndLiquidityPremiumSharesToMint(state, IERC20(_immutables.seniorTranche).totalSupply())",false
82,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,134:9,"state = IRoycoDayAccountant(_immutables.accountant)
            .previewSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",assert(true)
83,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,134:17,"IRoycoDayAccountant(_immutables.accountant)
            .previewSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",0
84,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,134:17,"IRoycoDayAccountant(_immutables.accountant)
            .previewSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",(-1)
85,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,134:17,"IRoycoDayAccountant(_immutables.accountant)
            .previewSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",1
86,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,134:17,"IRoycoDayAccountant(_immutables.accountant)
            .previewSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",true
87,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,134:17,"IRoycoDayAccountant(_immutables.accountant)
            .previewSyncTrancheAccounting(ValuationLogic._getSeniorTrancheRawNAV($), ValuationLogic._getJuniorTrancheRawNAV($))",false
88,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,137:9,state.ltRawNAV = ValuationLogic._getLiquidityTrancheRawNAV($),assert(true)
89,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,137:26,ValuationLogic._getLiquidityTrancheRawNAV($),0
90,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,137:26,ValuationLogic._getLiquidityTrancheRawNAV($),(-1)
91,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,137:26,ValuationLogic._getLiquidityTrancheRawNAV($),1
92,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,137:26,ValuationLogic._getLiquidityTrancheRawNAV($),true
93,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,137:26,ValuationLogic._getLiquidityTrancheRawNAV($),false
94,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,138:9,"state.liquidityUtilizationWAD = UtilizationLogic._computeLiquidityUtilization(state.stEffectiveNAV, state.minLiquidityWAD, state.ltRawNAV)",assert(true)
95,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,138:41,"UtilizationLogic._computeLiquidityUtilization(state.stEffectiveNAV, state.minLiquidityWAD, state.ltRawNAV)",0
96,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,138:41,"UtilizationLogic._computeLiquidityUtilization(state.stEffectiveNAV, state.minLiquidityWAD, state.ltRawNAV)",(-1)
97,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,138:41,"UtilizationLogic._computeLiquidityUtilization(state.stEffectiveNAV, state.minLiquidityWAD, state.ltRawNAV)",1
98,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,138:41,"UtilizationLogic._computeLiquidityUtilization(state.stEffectiveNAV, state.minLiquidityWAD, state.ltRawNAV)",true
